school,midcareer_pay,annual_cost,median_debt,total_cost,roi_debt_adjusted,earn_premium,break_even_years,sector
College of the Desert,39020.0,1326.0,5261.0,1326.0,24.459276018099548,600.0,10.978333333333333,Public
Design Institute of San Diego,46920.0,29350.0,24530.0,29350.0,-0.23713798977853492,8500.0,6.338823529411765,Private_forprofit
Dharma Realm Buddhist University,,,,,,,,Private_nonprofit
Diablo Valley College,51378.0,1312.0,6000.0,1312.0,33.58689024390244,12958.0,0.5642846118228122,Public
Dominican University of California,84713.0,50666.0,24250.0,50666.0,0.19336438637350492,46293.0,1.618300823018599,Private_nonprofit
Dominican School of Philosophy & Theology,,,,,,,,Private_nonprofit
East Los Angeles College,42006.0,1238.0,6999.0,1238.0,27.277059773828757,3586.0,2.2969882877858336,Public
El Camino Community College District,41589.0,1144.0,4750.0,1144.0,31.201923076923077,3169.0,1.8598927106342695,Public
Emperor's College of Traditional Oriental Medicine,,,,,,,,Private_forprofit
Empire College,43090.0,,12000.0,,,4670.0,,Private_forprofit
Evergreen Valley College,53077.0,1366.0,9250.0,1366.0,31.084187408491946,14657.0,0.724295558436242,Public
FIDM-Fashion Institute of Design & Merchandising,49840.0,34325.0,12000.0,34325.0,0.10240349599417334,11420.0,4.056479859894921,Private_forprofit
Feather River Community College District,38142.0,1465.0,7000.0,1465.0,20.257337883959046,-278.0,,Public
Federico Beauty Institute,29856.0,,5735.0,,,-8564.0,,Private_forprofit
Fielding Graduate University,,,,,,,,Private_nonprofit
Five Branches University,,,,,,,,Private_forprofit
Redondo Beach Beauty College,,,,,,,,Private_forprofit
Foothill College,57072.0,1565.0,6795.0,1565.0,31.1258785942492,18652.0,0.4482093073128887,Public
Franciscan School of Theology,,,,,,,,Private_nonprofit
Fredrick and Charles Beauty College,21826.0,,,,,-16594.0,,Private_forprofit
Fresno City College,37361.0,1334.0,3500.0,1334.0,24.383058470764617,-1059.0,,Public
Fresno Pacific University,58896.0,35558.0,19250.0,35558.0,0.11496709601214916,20476.0,2.6766946669271343,Private_nonprofit
Fuller Theological Seminary,,,,,,,,Private_nonprofit
